date	hostid	mod	type	desc	unit	tag	daily_avg	daily_max	daily_min	hour_count	first_hour	last_hour	first_hour_readable	last_hour_readable
2026-07-01	host001	cpu_idle	pref	CPU空闲率	%	cpu_percent	59.58	93.71	21.63	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	cpu_sys	pref	系统态CPU使用率	%	cpu_percent	24.17	45.83	0.31	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	cpu_usage	pref	CPU综合使用率	%	cpu_percent	41.63	77.48	11.85	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	cpu_user	pref	用户态CPU使用率	%	cpu_percent	26.66	49.09	1.6	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	cpu_wait	pref	IO等待CPU使用率	%	cpu_percent	26.11	47.2	3.07	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	load1	pref	1分钟平均负载		load_average	13.64	30.97	1.07	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	load15	pref	15分钟平均负载		load_average	15.01	31.64	1.74	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	load5	pref	5分钟平均负载		load_average	13.45	31.84	0.08	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	mem_buff	pref	缓冲区内存	MB	mem_metric	69628.5	127943.0	14299.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	mem_cache	pref	缓存内存	MB	mem_metric	54065.79	122770.0	5848.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	mem_free	pref	空闲内存	MB	mem_metric	63616.5	129564.0	6025.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	mem_swap	pref	交换区使用	MB	mem_metric	70208.83	130701.0	11861.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	mem_used	pref	已使用内存	MB	mem_metric	68879.75	128789.0	2033.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	net_in	pref	网络入站带宽	MB/s	net_speed_mb	517.44	898.53	76.9	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	net_out	pref	网络出站带宽	MB/s	net_speed_mb	501.08	852.23	95.77	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	net_pktin	pref	每秒入站数据包数	pkt/s	net_packets	39837.38	96927.0	3217.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	net_pktout	pref	每秒出站数据包数	pkt/s	net_packets	41115.58	74249.0	6509.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	proc_block	pref	阻塞进程数	个	proc_count	195.12	463.0	5.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	proc_run	pref	运行中进程数	个	proc_count	283.5	492.0	45.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host001	proc_total	pref	总进程数	个	proc_count	291.33	489.0	14.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	cpu_idle	pref	CPU空闲率	%	cpu_percent	56.62	92.84	20.53	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	cpu_sys	pref	系统态CPU使用率	%	cpu_percent	23.32	44.97	1.26	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	cpu_usage	pref	CPU综合使用率	%	cpu_percent	43.77	72.66	7.21	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	cpu_user	pref	用户态CPU使用率	%	cpu_percent	23.65	49.81	0.48	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	cpu_wait	pref	IO等待CPU使用率	%	cpu_percent	24.45	47.65	0.3	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	load1	pref	1分钟平均负载		load_average	15.68	31.9	0.41	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	load15	pref	15分钟平均负载		load_average	12.68	30.36	0.23	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	load5	pref	5分钟平均负载		load_average	14.2	30.36	1.59	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	mem_buff	pref	缓冲区内存	MB	mem_metric	54445.21	129823.0	1771.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	mem_cache	pref	缓存内存	MB	mem_metric	54669.17	128128.0	2587.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	mem_free	pref	空闲内存	MB	mem_metric	85175.17	130940.0	2438.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	mem_swap	pref	交换区使用	MB	mem_metric	55969.67	122682.0	2450.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	mem_used	pref	已使用内存	MB	mem_metric	57329.29	122801.0	2046.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	net_in	pref	网络入站带宽	MB/s	net_speed_mb	448.56	952.13	35.06	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	net_out	pref	网络出站带宽	MB/s	net_speed_mb	457.48	901.15	2.46	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	net_pktin	pref	每秒入站数据包数	pkt/s	net_packets	44431.92	98542.0	389.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
2026-07-01	host002	net_pktout	pref	每秒出站数据包数	pkt/s	net_packets	45766.12	98131.0	8285.0	24	2026-07-01 00:00	2026-07-01 23:00	2026-07-01 00:00	2026-07-01 23:00
